"filename", "language", "Lua", "Markdown", "JSON", "YAML", "XML", "pip requirements", "Shell Script", "Rust", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\Astrax.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\BoatTween.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\BridgeNet.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\Janitor.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\Matter.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\ProfileService.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\Promise.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\RaycastHitbox.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\Signal.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\TableUtil.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\BridgeNet.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\Janitor.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\Promise.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\Signal.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\TableUtil.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\TestEZ.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\roblox.yml", "YAML", 0, 0, 0, 15983, 0, 0, 0, 0, 0, 0, 1, 1, 15985
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\3dd.lua", "Lua", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\3ddOpacity.lua", "Lua", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\autopos.lua", "Lua", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\clear.lua", "Lua", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\debug.lua", "Lua", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 35
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\debugFadeInterval.lua", "Lua", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers\skeyw.lua", "Lua", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\consoleClientHandler.lua", "Lua", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 139
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\consoleServerHandler.lua", "Lua", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 62
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\init.lua", "Lua", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36, 354
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\server\debugModules\handlers\debug.lua", "Lua", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\workspaceDebugManifest\init.lua", "Lua", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 286
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\workspaceDebugManifest\ui.lua", "Lua", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 89
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\index.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\init.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\module\init.lua", "Lua", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 123
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\objects\debug.lua", "Lua", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 183
