Date : 2023-04-21 21:43:59
Directory : c:\Users\alwin\Documents\RBX_PROJECTS\ABM
Total : 950 files,  110538 codes, 1675 comments, 12216 blanks, all 124429 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Lua                |        803 |     45,500 |      1,549 |     10,522 |     57,571 |
| YAML               |         13 |     32,360 |          8 |         96 |     32,464 |
| JSON               |         39 |     25,438 |          0 |         19 |     25,457 |
| Markdown           |         51 |      2,887 |          1 |        848 |      3,736 |
| XML                |          1 |      2,775 |          0 |        294 |      3,069 |
| Rust               |         32 |      1,468 |         98 |        410 |      1,976 |
| TypeScript         |          6 |         59 |          0 |         16 |         75 |
| JSON with Comments |          1 |         27 |         11 |          0 |         38 |
| Shell Script       |          2 |         18 |          8 |         11 |         37 |
| pip requirements   |          2 |          6 |          0 |          0 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                         |        950 |    110,538 |      1,675 |     12,216 |    124,429 |
| . (Files)                                                                                                                                                                 |          8 |     16,171 |          1 |         40 |     16,212 |
| Packages                                                                                                                                                                  |        847 |     83,136 |      1,325 |     10,462 |     94,923 |
| Packages (Files)                                                                                                                                                          |         11 |         11 |          0 |         11 |         22 |
| Packages\_Index                                                                                                                                                           |        836 |     83,125 |      1,325 |     10,451 |     94,901 |
| Packages\_Index\averyark_astraxv2@0.3.6                                                                                                                                   |         31 |     17,405 |         37 |        237 |     17,679 |
| Packages\_Index\averyark_astraxv2@0.3.6 (Files)                                                                                                                           |          7 |          7 |          0 |          7 |         14 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2                                                                                                                          |         24 |     17,398 |         37 |        230 |     17,665 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2 (Files)                                                                                                                  |          3 |     16,019 |          1 |          1 |     16,021 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src                                                                                                                      |         18 |      1,301 |         36 |        210 |      1,547 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src (Files)                                                                                                              |          2 |         47 |          0 |         10 |         57 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger                                                                                                             |         13 |        969 |          8 |        138 |      1,115 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger (Files)                                                                                                     |          3 |        479 |          5 |         71 |        555 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client                                                                                                      |          7 |        131 |          2 |         22 |        155 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules                                                                                         |          7 |        131 |          2 |         22 |        155 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\client\debugModules\handlers                                                                                |          7 |        131 |          2 |         22 |        155 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\server                                                                                                      |          1 |         25 |          1 |          4 |         30 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\server\debugModules                                                                                         |          1 |         25 |          1 |          4 |         30 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\server\debugModules\handlers                                                                                |          1 |         25 |          1 |          4 |         30 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\workspaceDebugManifest                                                                                      |          2 |        334 |          0 |         41 |        375 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\module                                                                                                               |          1 |        102 |          3 |         18 |        123 |
| Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\objects                                                                                                              |          2 |        183 |         25 |         44 |        252 |
